title,categoric,semantic,paper_id,year,doi,research_application,ai_method_family,data_modality,disease_stage_or_population,validation_design,evaluation_focus,study_contribution
Early detection of Alzheimer's Disease and Dementia Using Deep Convolutional Neural Networks,early_detection,This paper presents a deep learning method using convolutional neural networks for the early detection and classification of Alzheimer's Disease stages from MRI images.,10_1109_icdcece60827_2024_10548493,2024,10.1109/icdcece60827.2024.10548493,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,mild_cognitive_impairment; alzheimers_disease,,discrimination_performance,model_development; clinical_application
Exploring Alzheimer's Disease Prediction with XAI in various Neural Network Models,early_detection,"The paper explores various neural network models to predict Alzheimer's disease using MRI data, emphasizing explainability with XAI techniques.",10_1109_tencon54134_2021_9707468,2021,10.1109/tencon54134.2021.9707468,early_detection; diagnosis; disease_classification; progression_prediction,deep_learning; convolutional_neural_network,structural_mri; multimodal_data,mild_cognitive_impairment; prodromal_alzheimers,,discrimination_performance; interpretability,model_development; comparative_benchmark
Deep Learning Based Model for Alzheimer's Disease Detection Using Brain MRI Images,diagnosis,"This paper develops deep learning models for the detection of Alzheimer's disease using MRI images, achieving high accuracy and recall rates.",10_1109_uemcon54665_2022_9965730,2022,10.1109/uemcon54665.2022.9965730,diagnosis; early_detection,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease,,discrimination_performance,model_development; model_validation
Alzheimer's Disease Early Detection Using Machine Learning Techniques,early_detection,"The paper presents a machine learning-based system for the early detection of Alzheimer's disease, achieving high accuracy with various classifiers.",10_21203_rs_3_rs_624520_v1,2021,10.21203/rs.3.rs-624520/v1,early_detection; diagnosis; disease_classification,classical_machine_learning,structural_mri,cognitively_normal; mild_cognitive_impairment; alzheimers_disease,cross_validation,discrimination_performance,model_development; model_validation
Artificial Intelligence-based MRI Images for Brain in Prediction of Alzheimer's Disease,early_detection,This paper demonstrates the effectiveness of a deep metric learning algorithm for early prediction of Alzheimer's disease using MRI data.,10_1155_2021_8198552,2021,10.1155/2021/8198552,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease; mild_cognitive_impairment,,discrimination_performance,model_development; model_validation
An eXplainability Artificial Intelligence approach to brain connectivity in Alzheimer's disease,diagnosis,This paper investigates the application of explainable artificial intelligence to understand and interpret brain connectivity changes in Alzheimer's disease.,10_3389_fnagi_2023_1238065,2023,10.3389/fnagi.2023.1238065,diagnosis; disease_classification; clinical_decision_support,classical_machine_learning; deep_learning; graph_neural_network,structural_mri,alzheimers_disease; mild_cognitive_impairment; cognitively_normal,cross_validation,interpretability; discrimination_performance,model_development; methodological_framework
Rethinking modeling Alzheimer's disease progression from a multi-task learning perspective with deep recurrent neural network,progression_prediction,This paper proposes a framework for modeling the progression of Alzheimer's disease using a multi-task learning approach with deep recurrent neural networks.,10_1016_j_compbiomed_2021_104935,2021,10.1016/j.compbiomed.2021.104935,progression_prediction,deep_learning; recurrent_neural_network,,,,,model_development
EDCNNS: Federated learning enabled evolutionary deep convolutional neural network for Alzheimer disease detection,diagnosis,This paper introduces the Evolutionary Deep Convolutional Neural Network Scheme (EDCNNS) to enhance computational efficiency and accuracy in detecting Alzheimer's disease.,10_1016_j_asoc_2023_110804,2023,10.1016/j.asoc.2023.110804,diagnosis; patient_monitoring,deep_learning; convolutional_neural_network,,alzheimers_disease,,discrimination_performance,model_development; comparative_benchmark
Alzheimer's disease detection using convolutional neural networks and transfer learning based methods,early_detection,This paper proposes a deep learning method using convolutional neural networks and transfer learning to detect Alzheimer's disease from brain images.,10_1109_ssd49366_2020_9364155,2020,10.1109/ssd49366.2020.9364155,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network; transformer,structural_mri,alzheimers_disease,cross_validation,discrimination_performance,model_development; clinical_application
"Integrating convolutional neural networks, kNN, and Bayesian optimization for efficient diagnosis of Alzheimer's disease in magnetic resonance images",diagnosis,"This study integrates convolutional neural networks, kNN, and Bayesian optimization to improve the diagnosis of Alzheimer's disease using magnetic resonance imaging.",10_1016_j_bspc_2022_104375,2022,10.1016/j.bspc.2022.104375,diagnosis,convolutional_neural_network; classical_machine_learning,structural_mri,alzheimers_disease,,,model_development
Differentiating Dementia with Lewy Bodies and Alzheimer's Disease by Deep Learning to Structural MRI,diagnosis,This paper demonstrates that deep learning can effectively differentiate dementia with Lewy bodies from Alzheimer's disease using structural MRI data.,10_1111_jon_12835,2021,10.1111/jon.12835,diagnosis; disease_classification,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease; mixed_dementia_population,cross_validation,discrimination_performance; clinical_utility,model_development; clinical_application
AI-based tool for early detection of Alzheimer's disease,early_detection,This study presents an AI-based tool leveraging transfer learning for early detection of Alzheimer's disease using hippocampal imaging data.,10_1016_j_heliyon_2024_e29375,2024,10.1016/j.heliyon.2024.e29375,early_detection; diagnosis; disease_classification,deep_learning; convolutional_neural_network; generative_ai,structural_mri,cognitively_normal; mild_cognitive_impairment; alzheimers_disease,cross_validation,discrimination_performance; clinical_utility,model_development; clinical_application
Prediction Alzheimer's disease from MRI images using deep learning,early_detection,This paper presents a deep learning approach to predict Alzheimer's disease using MRI images.,10_1109_icics52457_2021_9464543,2021,10.1109/icics52457.2021.9464543,early_detection; diagnosis,deep_learning; convolutional_neural_network,structural_mri,prodromal_alzheimers; alzheimers_disease,,discrimination_performance,model_development; clinical_application
A review on omics-based biomarkers discovery for Alzheimer's disease from the bioinformatics perspectives: Statistical approach vs machine learning approach,diagnosis,"This paper reviews omics-based biomarker discovery for Alzheimer's disease, comparing statistical approaches to machine learning methods.",10_1016_j_compbiomed_2021_104947,2021,10.1016/j.compbiomed.2021.104947,diagnosis; clinical_decision_support,classical_machine_learning,genomic_data,alzheimers_disease,,,review_or_synthesis
QSAR Classification of Beta-Secretase 1 Inhibitor Activity in Alzheimer's Disease Using Ensemble Machine Learning Algorithms,drug_discovery,"This study demonstrates the efficacy of ensemble machine learning models, specifically Random Forest, in predicting the activity of Beta-Secretase 1 inhibitors for Alzheimer's disease drug discovery.",10_60084_hjas_v1i1_12,2023,10.60084/hjas.v1i1.12,drug_discovery,ensemble_learning; classical_machine_learning,,alzheimers_disease,,discrimination_performance,model_development
Prediction of Alzheimer's disease from magnetic resonance imaging using a convolutional neural network,diagnosis,This study demonstrates a convolutional neural network can predict Alzheimer's disease from MRI with high accuracy.,10_1016_j_ibmed_2023_100091,2023,10.1016/j.ibmed.2023.100091,diagnosis,deep_learning; convolutional_neural_network,structural_mri,alzheimers_disease,,discrimination_performance,model_development; model_validation
Deep Learning for Brain MRI Confirms Patterned Pathological Progression in Alzheimer's Disease,diagnosis,This study confirms the use of deep learning on structural MRI data to detect progressive Alzheimer’s disease pathology.,10_1002_advs_202204717,2022,10.1002/advs.202204717,diagnosis; progression_prediction,deep_learning; convolutional_neural_network; ensemble_learning,structural_mri,alzheimers_disease,cross_validation; independent_cohort,discrimination_performance; calibration,model_development; clinical_application
Identification of marker genes in Alzheimer's disease using a machine-learning model,diagnosis,This paper investigates the use of machine learning for identifying marker genes as potential biomarkers for diagnosing Alzheimer's disease.,10_6026_97320630017363,2021,10.6026/97320630017363,diagnosis,classical_machine_learning,genomic_data,alzheimers_disease,,discrimination_performance,model_development
Conv-eRVFL: Convolutional Neural Network Based Ensemble RVFL Classifier for Alzheimer's Disease Diagnosis,diagnosis,This paper proposes a novel wavelet packet transform-based image fusion approach using MRI and PET scans for diagnosing Alzheimer's disease.,10_1109_jbhi_2022_3215533,2022,10.1109/jbhi.2022.3215533,diagnosis; disease_classification,deep_learning; convolutional_neural_network; ensemble_learning,structural_mri; pet,mild_cognitive_impairment; alzheimers_disease,cross_validation,discrimination_performance,model_development; clinical_application
Early detection of Alzheimer's disease using deep learning methods,early_detection,"This study demonstrates the effectiveness of hybrid deep learning methods for the early detection of Alzheimer's disease, achieving high predictive accuracy.",10_1002_alz_70175,2025,10.1002/alz.70175,early_detection; diagnosis,deep_learning; recurrent_neural_network; convolutional_neural_network,multimodal_data; structural_mri; clinical_assessment,alzheimers_disease; mild_cognitive_impairment,cross_validation; external_validation,discrimination_performance; generalizability,model_development; model_validation
Natural language processing to identify social determinants of health in Alzheimer's disease and related dementia from electronic health records,diagnosis,The paper develops a natural language processing algorithm to identify social determinants of health in Alzheimer's disease patients from electronic health records.,10_1111_1475_6773_14210,2023,10.1111/1475-6773.14210,diagnosis; patient_monitoring; clinical_decision_support,natural_language_processing; classical_machine_learning; deep_learning,electronic_health_records,alzheimers_disease; mixed_dementia_population,cross_validation,discrimination_performance; clinical_utility,model_development; model_validation
